t,setpoint,measurement,error,p_term,i_term,d_term,control
0.0,1.0,0.08500000000000002,1.0,2.0,0.04000000000000001,0.0,2.04
0.05,1.0,0.1538166666666667,0.915,1.83,0.0766,-0.16999999999999993,1.7366000000000001
0.1,1.0,0.21679016666666673,0.8461833333333333,1.6923666666666666,0.11044733333333334,-0.1376333333333335,1.6651806666666664
0.15000000000000002,1.0,0.2736842594444445,0.7832098333333333,1.5664196666666665,0.14177572666666668,-0.12594700000000003,1.5822483933333331
0.2,1.0,0.32518373412777785,0.7263157405555555,1.452631481111111,0.1708283562888889,-0.11378818555555559,1.5096716518444442
0.25,1.0,0.37182001976001855,0.6748162658722221,1.3496325317444442,0.1978210069237778,-0.10299894936666676,1.4444545893015552
0.30000000000000004,1.0,0.4140790020762202,0.6281799802399815,1.256359960479963,0.22294820613337707,-0.0932725712644813,1.3860355953488588
0.35000000000000003,1.0,0.4523969218757729,0.5859209979237798,1.1718419958475597,0.24638504605032827,-0.08451796463240323,1.3337090772654847
0.4,1.0,0.48716619537364264,0.5476030781242271,1.0952061562484543,0.2682891691752973,-0.07663583959910536,1.2868594858246463
0.45,1.0,0.5187397532171295,0.5128338046263574,1.0256676092527148,0.2888025213603516,-0.06953854699573947,1.244931583617327
0.5,1.0,0.5474350263793505,0.4812602467828705,0.962520493565741,0.30805293123166644,-0.06314711568697384,1.2074263091104336
0.55,1.0,0.5735375224091005,0.4525649736206495,0.905129947241299,0.32615553017649246,-0.05739054632444196,1.1738949310933495
0.6000000000000001,1.0,0.5973040419921558,0.4264624775908995,0.852924955181799,0.34321402928012845,-0.05220499205950002,1.1439339924024274
0.65,1.0,0.6189655712612335,0.4026959580078442,0.8053919160156884,0.35932186760044216,-0.047533039166110624,1.11718074445002
0.7000000000000001,1.0,0.6387298826124059,0.3810344287387665,0.762068857477533,0.37456324474999286,-0.04332305853815543,1.0933090436893704
0.75,1.0,0.6567838734001532,0.36127011738759407,0.7225402347751881,0.3890140494454966,-0.03952862270234481,1.07202566151834
0.8,1.0,0.6732956689307172,0.3432161265998468,0.6864322531996936,0.4027426945094905,-0.03610798157549455,1.0530669661336896
